urn,alma_iz_id,alma_nz_id,alma_representation_id,url,title
URN:NBN:no-68639,999920008663002204,,12219671040002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008663002204,"Brev 5. desember 1825, Berlin, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68640,999920008663202204,,12219671100002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008663202204,"Brev 29. juni 1863, Edinburgh, [til] Hansteen, Christopher [fra] Balfur"
URN:NBN:no-68641,999920008662802204,,12219670980002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008662802204,"Brev 12. april 1843, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68642,999920008662502204,,12219670940002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008662502204,"Brev 12. juli 1826, Zürich, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68643,999920008662102204,,12219670900002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008662102204,"Brev 15. april 1843, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68644,999920008661602204,,12219670840002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008661602204,"Brev 20. mars 1826, Leipzig, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68645,999920008661202204,,12219670780002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008661202204,"Brev 20. desember 1825, Berlin, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68646,999920008660702204,,12219670720002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008660702204,"Brev 24. april 1826, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68647,999920008660102204,,12219670660002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008660102204,"Brev 29. april 1862, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68648,999920008658702204,,12219671280002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008658702204,"Brev [Udatert], Berlin, [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68649,999920008658302204,,12219671240002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008658302204,"Brev [Udatert], [til] Hansteen, Christopher [fra] Boeck, Chr."
URN:NBN:no-68650,999920008657502204,,12219671160002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008657502204,"Brev [Udatert], [til] Hansteen, Christopher [fra] Boeck, Chr."
